label1,label2,upper_depth,lower_depth,excavation_area,chronological_unit,grouped_level,excavation_dimension_1,excavation_dimension_2
tp1_c_3,tp1_c_3_0_10,0,10,tp1,c,3,2,1.8
d1_c_3,d1_c_3_0_20,0,20,d1,c,3,1.5,1.5
tp1_c_3,tp1_c_3_0_20,0,20,tp1,c,3,2,1.8
ta_e_6,ta_e_6_0_30,0,30,ta,e,6,4,5
tp1_c_3,tp1_c_3_10_30,10,30,tp1,c,3,2,1.8
tp1_c_3,tp1_c_3_10_90,10,90,tp1,c,3,2,1.8
tp1_b_1,tp1_b_1_100_110,100,110,tp1,b,1,2,1.8
tp1_b_1,tp1_b_1_110_120,110,120,tp1,b,1,2,1.8
tp1_b_1,tp1_b_1_120_130,120,130,tp1,b,1,2,1.8
tp1_b_1,tp1_b_1_120_140,120,140,tp1,b,1,2,1.8
ta_d_4,ta_d_4_120_150,120,150,ta,d,4,4,5
ta_d_3,ta_d_3_150_180,150,180,ta,d,3,4,5
ta_d_3,ta_d_3_180_190,180,190,ta,d,3,4,5
ta_d_2,ta_d_2_190_200,190,200,ta,d,2,4,5
d1_c_3,d1_c_3_20_30,20,30,d1,c,3,1.5,1.5
tp1_c_3,tp1_c_3_20_30,20,30,tp1,c,3,2,1.8
ta_d_2,ta_d_2_200_210,200,210,ta,d,2,4,5
ta_d_2,ta_d_2_210_220,210,220,ta,d,2,4,5
ta_d_2,ta_d_2_220_230,220,230,ta,d,2,4,5
ta_d_2,ta_d_2_230_240,230,240,ta,d,2,4,5
ta_d_1,ta_d_1_230_250,230,250,ta,d,1,4,5
ta_d_1,ta_d_1_250_260,250,260,ta,d,1,4,5
ta_d_1,ta_d_1_260_270,260,270,ta,d,1,4,5
ta_e_6,ta_e_6_30_40,30,40,ta,e,6,4,5
tp1_c_3,tp1_c_3_30_40,30,40,tp1,c,3,2,1.8
ta_e_5,ta_e_5_40_50,40,50,ta,e,5,4,5
tp1_c_3,tp1_c_3_40_50,40,50,tp1,c,3,2,1.8
d1_a_2,d1_a_2_40_60,40,60,d1,a,2,1.5,1.5
tp1_c_3,tp1_c_3_50_100,50,100,tp1,c,3,2,1.8
d1_a_2,d1_a_2_50_60,50,60,d1,a,2,1.5,1.5
ta_e_5,ta_e_5_50_60,50,60,ta,e,5,4,5
tp1_b_2,tp1_b_2_50_60,50,60,tp1,b,2,2,1.8
tp1_b_2,tp1_b_2_50_70,50,70,tp1,b,2,2,1.8
d1_a_1,d1_a_1_60_70,60,70,d1,a,1,1.5,1.5
ta_e_5,ta_e_5_60_70,60,70,ta,e,5,4,5
ta_d_4,ta_d_4_70_120,70,120,ta,d,4,4,5
d1_a_1,d1_a_1_70_80,70,80,d1,a,1,1.5,1.5
tp1_b_2,tp1_b_2_80_90,80,90,tp1,b,2,2,1.8
tp1_b_2,tp1_b_2_90_100,90,100,tp1,b,2,2,1.8